title
L.A Confidiental
A room with a view (James Ivory)
"Paris,Texas MOST SAD MOVIE"
La mujer que cantaba
Instinct Anthony Hopkins
Carol Kate Blanceht
Love in the Afternoon 50's
training day Denzel Washintong
""
Donniedarko & s.darko
Caitlin Cronenberg humane
MI VIDA ES UN ROMPECABEZAS
El placer de estar contigo
Director: Claude Chabrol
""
""
La Belle Noiseuse
Director: Krzysztof Kieślowski
ron leshem (series y películas)
Anna kannerina
Tourist ruben ostland
shameless (Serie)
12 monos Bruce willis
Timelapse/panabaker
The silence (dir:dark:)
El árbol de la vida Brad
Solo un sueño DiCaprio
Phillip Seymour Hoffman
The Game D.Fincher
Camila (ARG)
Plata quemada (ARG)
LA CORDILLERA (ARG) Darin
The margin call
